Date,Price,Open,High,Low,Vol.,Change %,change
01-08-2025,"5,918.25","5,910.66","5,927.89","5,874.78",0.00K,0.16%,0.16
01-07-2025,"5,909.03","5,993.26","6,000.68","5,890.68",0.00K,-1.11%,-1.11
01-06-2025,"5,975.38","5,982.81","6,021.04","5,960.01",0.00K,0.55%,0.55
01-03-2025,"5,942.47","5,891.07","5,949.34","5,888.66",0.00K,1.26%,1.26
01-02-2025,"5,868.55","5,903.26","5,935.09","5,829.53",0.00K,-0.22%,-0.22
12/31/2024,"5,881.63","5,919.74","5,929.74","5,868.86",0.00K,-0.43%,-0.43
12/30/2024,"5,906.94","5,920.67","5,940.79","5,869.16",0.00K,-1.07%,-1.07
12/27/2024,"5,970.84","6,006.17","6,006.17","5,932.95",0.00K,-1.11%,-1.11
12/26/2024,"6,037.59","6,024.97","6,049.75","6,007.37",0.00K,-0.04%,-0.04
12/24/2024,"6,040.04","5,984.63","6,040.10","5,981.44",0.00K,1.10%,1.1
12/23/2024,"5,974.07","5,940.25","5,978.25","5,902.57",0.00K,0.73%,0.73
12/20/2024,"5,930.85","5,842.00","5,982.06","5,832.30",0.00K,1.09%,1.09
12/19/2024,"5,867.08","5,912.71","5,935.52","5,866.07",0.00K,-0.09%,-0.09
12/18/2024,"5,872.16","6,047.65","6,070.67","5,867.79",0.00K,-2.95%,-2.95
12/17/2024,"6,050.61","6,052.55","6,057.68","6,035.19",0.00K,-0.39%,-0.39
12/16/2024,"6,074.08","6,063.79","6,085.19","6,059.14",0.00K,0.38%,0.38
12/13/2024,"6,051.09","6,068.17","6,078.58","6,035.77",0.00K,0.00%,0
12-12-2024,"6,051.25","6,074.29","6,079.68","6,051.25",0.00K,-0.54%,-0.54
12-11-2024,"6,084.19","6,060.15","6,092.59","6,060.15",0.00K,0.82%,0.82
12-10-2024,"6,034.91","6,057.59","6,065.40","6,029.89",0.00K,-0.30%,-0.3
12-09-2024,"6,052.85","6,083.01","6,088.51","6,048.63",0.00K,-0.61%,-0.61
12-06-2024,"6,090.27","6,081.38","6,099.97","6,079.98",0.00K,0.25%,0.25
12-05-2024,"6,075.11","6,089.03","6,094.55","6,072.90",0.00K,-0.19%,-0.19
12-04-2024,"6,086.49","6,069.39","6,089.84","6,061.06",0.00K,0.61%,0.61
12-03-2024,"6,049.88","6,042.97","6,052.07","6,033.39",0.00K,0.05%,0.05
12-02-2024,"6,047.15","6,040.11","6,053.58","6,035.33",0.00K,0.24%,0.24
11/29/2024,"6,032.38","6,003.98","6,044.17","6,003.98",0.00K,0.56%,0.56
11/27/2024,"5,998.74","6,014.11","6,020.16","5,984.87",0.00K,-0.38%,-0.38
11/26/2024,"6,021.63","6,000.03","6,025.42","5,992.27",0.00K,0.57%,0.57
11/25/2024,"5,987.37","5,992.28","6,020.75","5,963.91",0.00K,0.30%,0.3
11/22/2024,"5,969.34","5,944.36","5,972.90","5,944.36",0.00K,0.35%,0.35
11/21/2024,"5,948.71","5,940.58","5,963.32","5,887.26",0.00K,0.53%,0.53
11/20/2024,"5,917.11","5,914.34","5,920.67","5,860.56",0.00K,0.00%,0
11/19/2024,"5,916.98","5,870.05","5,923.51","5,855.29",0.00K,0.40%,0.4
11/18/2024,"5,893.62","5,874.17","5,908.12","5,865.95",0.00K,0.39%,0.39
11/15/2024,"5,870.62","5,912.79","5,915.32","5,853.01",,-1.32%,-1.32
11/14/2024,"5,949.17","5,989.68","5,993.88","5,942.28",,-0.60%,-0.6
11/13/2024,"5,985.38","5,985.75","6,008.19","5,965.91",,0.02%,0.02
11-12-2024,"5,983.99","6,003.60","6,009.92","5,960.08",,-0.29%,-0.29
11-11-2024,"6,001.35","6,008.86","6,017.31","5,986.69",,0.10%,0.1
11-08-2024,"5,995.54","5,976.76","6,012.45","5,976.76",,0.38%,0.38
11-07-2024,"5,973.10","5,947.21","5,983.84","5,947.21",,0.74%,0.74
11-06-2024,"5,929.04","5,864.89","5,936.14","5,864.89",,2.53%,2.53
11-05-2024,"5,782.76","5,722.43","5,783.44","5,722.10",,1.23%,1.23
11-04-2024,"5,712.69","5,725.15","5,741.43","5,696.51",,-0.28%,-0.28
11-01-2024,"5,728.80","5,723.22","5,772.52","5,723.22",,0.41%,0.41
10/31/2024,"5,705.45","5,775.34","5,775.34","5,702.86",,-1.86%,-1.86
10/30/2024,"5,813.67","5,832.65","5,850.94","5,811.28",,-0.33%,-0.33
10/29/2024,"5,832.92","5,819.68","5,847.19","5,802.17",,0.16%,0.16
10/28/2024,"5,823.52","5,833.93","5,842.92","5,823.08",,0.27%,0.27
10/25/2024,"5,808.12","5,826.75","5,862.82","5,799.98",,-0.03%,-0.03
10/24/2024,"5,809.86","5,817.80","5,817.80","5,784.92",,0.21%,0.21
10/23/2024,"5,797.42","5,834.50","5,834.85","5,762.41",,-0.92%,-0.92
10/22/2024,"5,851.20","5,832.70","5,863.04","5,821.17",,-0.05%,-0.05
10/21/2024,"5,853.98","5,857.82","5,866.92","5,824.79",,-0.18%,-0.18
10/18/2024,"5,864.67","5,859.43","5,872.17","5,846.11",,0.40%,0.4
10/17/2024,"5,841.47","5,875.62","5,878.46","5,840.25",,-0.02%,-0.02
